03/01/2020,SBY,38,48,28,3.46
03/01/2020,BOS,37,41,31,11.83
03/01/2020,MQE,60,60,60,11.6
03/01/2020,ORH,31,35,26,11.56
03/01/2020,APN,27,32,21,8.96
03/01/2020,DTW,32,36,27,12.96
03/01/2020,FNT,31,34,27,11.13
03/01/2020,GRR,30,33,26,13.3
03/01/2020,HTL,26,30,21,11.16
03/01/2020,LAN,29,32,25,12.5
03/01/2020,MQT,23,27,18,0
03/01/2020,MKG,31,35,27,13.23
03/01/2020,ANJ,24,31,17,9.56
03/01/2020,DLH,22,27,17,11.56
03/01/2020,INL,21,25,15,7.76
03/01/2020,MSP,23,30,16,9.36
03/01/2020,RST,19,26,13,13.73
03/01/2020,STC,20,29,10,9.03
03/01/2020,GLH,42,48,35,4.56
03/01/2020,GWO,40,48,32,2.36
03/01/2020,GPT,47,52,42,9.76
03/01/2020,HBG,46,51,40,5.76
03/01/2020,JAN,44,50,38,5.43
03/01/2020,MEI,43,49,36,5.56
03/01/2020,TUP,40,50,31,4.13
03/01/2020,CGI,37,46,27,5.96
03/01/2020,COU,33,41,24,9.26
03/01/2020,MCI,29,38,20,8.13
03/01/2020,VIH,33,41,24,8.63
03/01/2020,SGF,35,45,23,7.5
03/01/2020,STJ,26,36,16,5.5
03/01/2020,STL,36,43,29,9.03
03/01/2020,BIL,23,29,16,18.86
03/01/2020,BTM,0,13,-12,1.8
03/01/2020,CTB,8,22,-6,4.83
03/01/2020,DLN,7,16,-2,6.4
03/01/2020,GGW,8,18,-1,6.16
03/01/2020,GTF,17,27,7,11
03/01/2020,HVR,10,20,0,9
03/01/2020,HLN,3,12,-5,0.53
03/01/2020,GPI,6,16,-3,1.6
03/01/2020,MLS,19,31,6,6.26
03/01/2020,MSO,7,16,-2,2.33
03/01/2020,GRI,26,37,15,9.03
03/01/2020,LNK,26,36,16,5.7
03/01/2020,OFK,22,32,12,9.43
03/01/2020,LBF,26,43,8,6.7
03/01/2020,OMA,22,31,12,6.83
03/01/2020,BFF,18,31,5,6.36
03/01/2020,SNY,21,33,8,10.86
03/01/2020,VTN,20,34,7,7.8
03/01/2020,ELY,7,22,-8,3.46
03/01/2020,P68,12,24,-7,3.4
03/01/2020,LAS,44,52,35,1.03
03/01/2020,DRA,39,47,30,7.96
03/01/2020,RNO,22,29,15,2.96
03/01/2020,WMC,12,25,-1,6.6
03/01/2020,CON,34,39,29,6.16
03/01/2020,MWN,60,60,60,52.6
03/01/2020,ACY,36,46,26,6.26
03/01/2020,EWR,37,44,30,10.1
